Hot_tier_size, Cold_tier_size, Hot_time, Hot_accessed_size, Cold_time, Cold_accessed_size,total size = ,12244480,,hot p
2527384,9717096,4725413,1739407,1869692,690561,,,,20.64100721
3049631,9194849,5298267,2133555,1044248,465520,,,,24.90616996
3728295,8516185,5250611,2169910,512442,219568,,,,30.44878182
4311095,7933385,5793663,2311196,133420,66710,,,,35.20847762
4861632,7382848,5631035,2461238,74548,37274,,,,39.70468325
12244480,0,5762709,2527384,0,0,,,,100
